Puerto Madero,3789.18360233673,80,937847.546666667,247.506493506494
Las Cañitas,3697.42516759896,11,787181.818181818,212.9
Barrio Norte,2841.48617963881,399,537529.395604396,189.171919770774
Nuñez,2619.22395405233,216,625659.136585366,238.871951219512
Catalinas,2143.96192742415,9,450500,210.125
Palermo,2111.30633201893,1412,608153.985165663,288.046303818034
Almagro,2088.17113099547,850,649735.877663439,311.150684931507
Parque Centenario,2047.40277359761,138,652224.812030075,318.56204379562
Retiro,2032.82976918824,335,398535.93856999,196.049833887043
Villa Urquiza,1973.75809238169,369,536159.130434783,271.643790849673
Colegiales,1934.95312304343,167,509192.452830189,263.154929577465
Versalles,1900.27896667686,32,517984.375,272.583333333333
Villa Crespo,1725.72094181473,1236,534076.176993689,309.480034722222
Parque Chas,1589.0366576154,34,643718.75,405.1
Villa Devoto,1583.55478901194,141,484189.393939394,305.761061946903
Saavedra,1552.38873083645,121,631992.976210826,407.11
Belgrano,1508.87926297316,633,533652.641908832,353.674846625767
Coghlan,1442.92000119223,61,658648.809523809,456.469387755102
Paternal,1439.2129308694,166,626297.49375,435.166666666667
Recoleta,1422.15557987692,580,367376.591619762,258.323770491803
Tribunales,1378.10187498102,375,230105.256906077,166.972602739726
Congreso,1350.22453713719,216,317197.279935275,234.921875
Boedo,1311.74570017086,176,756725.91372549,576.884615384615
San Nicolás,1263.45129591176,902,454141.25904542,359.445006321113
Villa del Parque,1247.72112892966,184,479553.817647059,384.34375
Parque Patricios,1240.61408823388,317,1051115.40430108,847.254125412541
Centro / Microcentro,1239.71769987175,719,518522.27394636,418.258345428157
Villa Pueyrredón,1233.36398317229,83,280217.051282051,227.197368421053
Caballito,1209.37440210681,496,563401.96331192,465.86231884058
Floresta,1200.87429432533,185,614669.444444445,511.851612903226
Parque Chacabuco,1178.37711680417,98,435685.299319728,369.733333333333
Villa General Mitre,1173.32648794244,47,449263.703703704,382.897435897436
San Cristobal,1144.9627828177,185,464683.888888889,405.850649350649
Constitución,1110.48103389077,102,651112.046204621,586.333333333333
Parque Avellaneda,1094.51904399966,36,392733.333333333,358.818181818182
Balvanera,1086.32739383494,514,474890.904269972,437.152654867257
Chacarita,1045.50980108834,186,627088.066111111,599.791666666667
Villa Luro,1044.47579589108,73,441991.044776119,423.170212765957
Pompeya,1043.36846508498,77,745039.61038961,714.071428571429
Barracas,1018.11213713735,156,780732.020134228,766.842857142857
Boca,991.463675180701,74,625376.811594203,630.761194029851
Flores,979.741760767318,436,429362.488941548,438.240469208211
Agronomía,977.930527635475,14,269297.619047619,275.375
San Telmo,953.148605541584,217,378910.834214744,397.535947712418
Velez Sarsfield,915.135994348287,16,215895.833333333,235.916666666667
Liniers,912.40039911828,86,243240.243902439,266.59375
Once,879.880738264952,273,403185.351020408,458.227272727273
Villa Soldati,848.598644440374,17,545000,642.235294117647
Mataderos,778.93883936974,142,360990.833333333,463.439252336449
Monserrat,721.867275292057,440,631198.894573643,874.397435897436
Villa Santa Rita,664.50128430101,34,529997.058823529,797.586206896552
Villa Real,608.068602611577,14,490285.714285714,806.3
Villa Lugano,596.627000170705,87,380988.955823293,638.571428571429
Villa Ortuzar,579.286991236346,110,597626.970873786,1031.65957446809
Monte Castro,522.051739133695,43,401884.920634921,769.818181818182
Villa Riachuelo,374.797107864837,4,4445000,11859.75
Abasto,200.857713532293,63,209977.358490566,1045.40350877193
