Abasto,Living,485
Abasto,Commercial,93
Agronomía,Living,149
Agronomía,Commercial,19
Almagro,Living,6170
Almagro,Commercial,1126
Balvanera,Living,2754
Balvanera,Commercial,817
Barracas,Living,831
Barracas,Commercial,300
Barrio Norte,Living,4394
Barrio Norte,Commercial,721
Belgrano,Living,8271
Belgrano,Commercial,1355
Boca,Living,351
Boca,Commercial,118
Boedo,Living,914
Boedo,Commercial,241
Caballito,Living,6252
Caballito,Commercial,704
Catalinas,Commercial,61
Catalinas,Living,10
Centro / Microcentro,Commercial,1429
Centro / Microcentro,Living,419
Chacarita,Living,756
Chacarita,Commercial,301
Coghlan,Living,625
Coghlan,Commercial,74
Colegiales,Living,1532
Colegiales,Commercial,312
Congreso,Living,850
Congreso,Commercial,339
Constitución,Living,536
Constitución,Commercial,153
Distrito Audiovisual,Living,1
Distrito de las Artes,Living,1
Flores,Living,2521
Flores,Commercial,639
Floresta,Living,1128
Floresta,Commercial,304
Las Cañitas,Living,703
Las Cañitas,Commercial,43
Liniers,Living,940
Liniers,Commercial,175
Mataderos,Living,918
Mataderos,Commercial,267
Monserrat,Living,1102
Monserrat,Commercial,778
Monte Castro,Living,400
Monte Castro,Commercial,63
Nuñez,Living,2648
Nuñez,Commercial,455
Once,Living,655
Once,Commercial,493
Palermo,Living,16296
Palermo,Commercial,2611
Parque Avellaneda,Living,231
Parque Avellaneda,Commercial,52
Parque Centenario,Living,723
Parque Centenario,Commercial,159
Parque Chacabuco,Living,811
Parque Chacabuco,Commercial,138
Parque Chas,Living,181
Parque Chas,Commercial,43
Parque Patricios,Commercial,576
Parque Patricios,Living,506
Paternal,Living,841
Paternal,Commercial,259
Pompeya,Living,193
Pompeya,Commercial,129
Puerto Madero,Living,2033
Puerto Madero,Commercial,430
Recoleta,Living,7198
Recoleta,Commercial,1065
Retiro,Living,1753
Retiro,Commercial,772
Saavedra,Living,1064
Saavedra,Commercial,178
San Cristobal,Living,1342
San Cristobal,Commercial,267
San Nicolás,Living,1752
San Nicolás,Commercial,1737
San Telmo,Living,1712
San Telmo,Commercial,366
Tribunales,Commercial,635
Tribunales,Living,174
Velez Sarsfield,Living,142
Velez Sarsfield,Commercial,22
Versalles,Living,317
Versalles,Commercial,45
Villa Crespo,Living,5672
Villa Crespo,Commercial,1813
Villa del Parque,Living,1316
Villa del Parque,Commercial,265
Villa Devoto,Living,1542
Villa Devoto,Commercial,232
Villa General Mitre,Living,252
Villa General Mitre,Commercial,74
Villa Lugano,Living,634
Villa Lugano,Commercial,138
Villa Luro,Living,945
Villa Luro,Commercial,98
Villa Ortuzar,Living,336
Villa Ortuzar,Commercial,164
Villa Pueyrredón,Living,777
Villa Pueyrredón,Commercial,113
Villa Real,Living,164
Villa Real,Commercial,27
Villa Riachuelo,Living,67
Villa Riachuelo,Commercial,20
Villa Santa Rita,Living,305
Villa Santa Rita,Commercial,42
Villa Soldati,Living,41
Villa Soldati,Commercial,28
Villa Urquiza,Living,3581
Villa Urquiza,Commercial,556
